,context,ut,bt,bt_plus_1,diff
10," A: Hello how are you today? B: I'm well, thanks A: Great, what type of movies do you like B: I like a lot of different movies.Let's try [MOVIE_GENRE_0] A: What was the last movie you watched?","A Clockwork Orange, I think. Can you recommend a movie like that?",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]'],[]
11," A: Hello how are you today? B: I'm well, thanks A: Great, what type of movies do you like B: I like a lot of different movies.Let's try [MOVIE_GENRE_0] A: What was the last movie you watched? B: A Clockwork Orange, I think. Can you recommend a movie like that? A: What did you enjoy most about A Clockwork Orange","I liked that it was a Kubrick movie, of course. And that it was inventive",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]'],[]
12," A: Hello how are you today? B: I'm well, thanks A: Great, what type of movies do you like B: I like a lot of different movies.Let's try [MOVIE_GENRE_0] A: What was the last movie you watched? B: A Clockwork Orange, I think. Can you recommend a movie like that? A: What did you enjoy most about A Clockwork Orange B: I liked that it was a Kubrick movie, of course. And that it was inventive A: and what do you least enjoy about the film?","I don't know. I guess the ""future"" portrayed seemed a little dated",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]'],[]
13," A: hi how are you doing? B: fantastic and yourself A: im doing good. do you like to watch movies? B: I do! Do you have any recomendations? A: sure, but first what kind of movies do you like to watch?",Generally [MOVIE_GENRE_0] I preffer some risque humor or some off the wall comical set off circumstances.,['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]']
14, A: Hey! How are you? B: Good evening I am well thank you. looking for a movie recommendation. Do you have any? A: I sure do! What kind of movies do you like to see?,I love [MOVIE_GENRE_0] and movies that are very suspenseful,['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']",['[MOVIE_TITLE_0]']
15, A: Hey! How are you? B: Good evening I am well thank you. looking for a movie recommendation. Do you have any? A: I sure do! What kind of movies do you like to see? B: I love [MOVIE_GENRE_0] and movies that are very suspenseful A: I do too! Have you ever seen the movie [MOVIE_TITLE_0],"I did! a while ago, when it first came out. I liked the acting and the movie itself. whats another movie that is similar to that?","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]']","['[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]']"
16," A: Hey! How are you? B: Good evening I am well thank you. looking for a movie recommendation. Do you have any? A: I sure do! What kind of movies do you like to see? B: I love [MOVIE_GENRE_0] and movies that are very suspenseful A: I do too! Have you ever seen the movie [MOVIE_TITLE_0] B: I did! a while ago, when it first came out. I liked the acting and the movie itself. whats another movie that is similar to that? A: Ma is a similar movie to [MOVIE_TITLE_0]. It came out this year, actually. I really enjoyed watching it. Have you seen [MOVIE_TITLE_1]","the movie Ma was soooo good, I seen it in theaters actually. I try to watch every [MOVIE_GENRE_0] and suspense movie that comes out.","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_GENRE_0]']",[]
17, A: Hi! I'm here to help you chose a movie! B: Terrific A: What are some genres you like? What was the last movie you saw?,"the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2]","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]']
18," A: Hi! I'm here to help you chose a movie! B: Terrific A: What are some genres you like? What was the last movie you saw? B: the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2] A: How did you like [MOVIE_TITLE_0] It definitely has the [MOVIE_GENRE_1] aspect, did it leave you wanting more or was it not exactly what you were looking for?","I liked it,  it wasn't the most high-brow movie i've ever seen but it was fun. I like to just enjoy","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_3]']",['[MOVIE_GENRE_3]']
19," A: Hi! I'm here to help you chose a movie! B: Terrific A: What are some genres you like? What was the last movie you saw? B: the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2] A: How did you like [MOVIE_TITLE_0] It definitely has the [MOVIE_GENRE_1] aspect, did it leave you wanting more or was it not exactly what you were looking for? B: I liked it,  it wasn't the most high-brow movie i've ever seen but it was fun. I like to just enjoy A: And what are your thoughts on [MOVIE_GENRE_3] in film?",I like some [MOVIE_GENRE_3] Just not too violent,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_3]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_3]']",[]
20," A: Hi! I'm here to help you chose a movie! B: Terrific A: What are some genres you like? What was the last movie you saw? B: the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2] A: How did you like [MOVIE_TITLE_0] It definitely has the [MOVIE_GENRE_1] aspect, did it leave you wanting more or was it not exactly what you were looking for? B: I liked it,  it wasn't the most high-brow movie i've ever seen but it was fun. I like to just enjoy A: And what are your thoughts on [MOVIE_GENRE_3] in film? B: I like some [MOVIE_GENRE_3] Just not too violent A: Definitely, movies like ""[MOVIE_TITLE_1]"" wouldn't be up your alley I'm guessing?",It could be. I understand [MOVIE_TITLE_1] was very  I like,"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']",[]
21," A: Hi, I am here to help you look for a movie trailer B: Hi. What could you recommend? A: What type of movies are you into? [MOVIE_GENRE_0] [MOVIE_GENRE_1] [MOVIE_GENRE_2]",[MOVIE_GENRE_0] is my favorite.,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],[]
22," A: Hi, I am here to help you look for a movie trailer B: Hi. What could you recommend? A: What type of movies are you into? [MOVIE_GENRE_0] [MOVIE_GENRE_1] [MOVIE_GENRE_2] B: [MOVIE_GENRE_0] is my favorite. A: Perfect, what is the latest [MOVIE_GENRE_0] that you saw?",The last [MOVIE_GENRE_0] I saw was [MOVIE_TITLE_0],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[]
23," A: Hi, I am here to help you look for a movie trailer B: Hi. What could you recommend? A: What type of movies are you into? [MOVIE_GENRE_0] [MOVIE_GENRE_1] [MOVIE_GENRE_2] B: [MOVIE_GENRE_0] is my favorite. A: Perfect, what is the latest [MOVIE_GENRE_0] that you saw? B: The last [MOVIE_GENRE_0] I saw was [MOVIE_TITLE_0] A: Nice, have you seen [MOVIE_TITLE_1], the original or number two?",Yes I have seen and love both!,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[]
24, A: Hi B: Hello! A: what is your favorite genre in movies,I like a good [MOVIE_GENRE_0] movie,['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]'],[]
25, A: Hi B: Hello! A: what is your favorite genre in movies B: I like a good [MOVIE_GENRE_0] movie A: wow.. what a coincidence.. any recent movie you saw?,Hmm does the movie [MOVIE_TITLE_0] count as a [MOVIE_GENRE_0],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]']
26, A: Hi B: Hello! A: what is your favorite genre in movies B: I like a good [MOVIE_GENRE_0] movie A: wow.. what a coincidence.. any recent movie you saw? B: Hmm does the movie [MOVIE_TITLE_0] count as a [MOVIE_GENRE_0] A: i would think it more as [MOVIE_GENRE_1] and fantacy,I watched [MOVIE_TITLE_1] but that is more of a [MOVIE_GENRE_2] lol. Do you have any [MOVIE_GENRE_0] or [MOVIE_GENRE_2] recommendations?,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]']"
27, A: Hi B: Hello! A: what is your favorite genre in movies B: I like a good [MOVIE_GENRE_0] movie A: wow.. what a coincidence.. any recent movie you saw? B: Hmm does the movie [MOVIE_TITLE_0] count as a [MOVIE_GENRE_0] A: i would think it more as [MOVIE_GENRE_1] and fantacy B: I watched [MOVIE_TITLE_1] but that is more of a [MOVIE_GENRE_2] lol. Do you have any [MOVIE_GENRE_0] or [MOVIE_GENRE_2] recommendations? A: i recently watched one [MOVIE_GENRE_3] [MOVIE_GENRE_0],What was the name of it?,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]']",[]
28, A: Hi B: hello. Do you have a movie recommendation? A: Do you have a preference for movies?,"I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1]","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']",[]
29," A: Hi B: hello. Do you have a movie recommendation? A: Do you have a preference for movies? B: I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1] A: Are you interested in the new [MOVIE_TITLE_0] movie?",No not really. I thought the first one was ok but not really up my alley.,['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]'],[]
30," A: Hi B: hello. Do you have a movie recommendation? A: Do you have a preference for movies? B: I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1] A: Are you interested in the new [MOVIE_TITLE_0] movie? B: No not really. I thought the first one was ok but not really up my alley. A: What [MOVIE_GENRE_0] movies do you like?","lets see...I liked die hard, the avengers, john wick, highlander. Those kinds of movies. I also liked goodfellas, casino, [MOVIE_TITLE_1]",['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]'],[]
31," A: Hi B: hello. Do you have a movie recommendation? A: Do you have a preference for movies? B: I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1] A: Are you interested in the new [MOVIE_TITLE_0] movie? B: No not really. I thought the first one was ok but not really up my alley. A: What [MOVIE_GENRE_0] movies do you like? B: lets see...I liked die hard, the avengers, john wick, highlander. Those kinds of movies. I also liked goodfellas, casino, [MOVIE_TITLE_1] A: I was never into the mob type movies, but I do like some [MOVIE_GENRE_0] movies. Do you like movies that are inspired by true stories?",Yes. I find it fascinating that farfetched things can happen to people and be made into movies.,['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]'],[]
32," A: Hi there. How are you? B: I'm doing well. I was wondering if you had any movie recommendations. A: Let me see. Well, what kind of movies do you usually find yourself watching? What do you like?",I tend to like [MOVIE_GENRE_0] movies that also involve [MOVIE_GENRE_1],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']",[]
33," A: Hi there. How are you? B: I'm doing well. I was wondering if you had any movie recommendations. A: Let me see. Well, what kind of movies do you usually find yourself watching? What do you like? B: I tend to like [MOVIE_GENRE_0] movies that also involve [MOVIE_GENRE_1] A: Oh, me too. So, what did you see last that you liked?",I really liked [MOVIE_TITLE_0] because I liked the pacing and the effects were great.,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]']
34, A: Hi! I hope I can find a movie you would really like to see. B: What movie do you recommend? A: I have some good recommendations but I was wondering what genre you like enjoy the most?,"I like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] mostly, and things with a good cinematography, though i Gotta be in the mood for it",['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_2]']","['[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_2]']"
