,context,ut,bt,bt_plus_1,diff,related_placeholders
10, A:hi how are you doing?,fantastic and yourself,[],[],[],[]
11, A:hi how are you doing? B:fantastic and yourself A:im doing good. do you like to watch movies?,I do! Do you have any recomendations?,[],[],[],[]
12," A:hi how are you doing? B:fantastic and yourself A:im doing good. do you like to watch movies? B:I do! Do you have any recomendations? A:sure, but first what kind of movies do you like to watch?",Generally [MOVIE_GENRE_0] I preffer some risque humor or some off the wall comical set off circumstances.,['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
13, A:Hey! How are you?,Good evening I am well thank you. looking for a movie recommendation. Do you have any?,[],[],[],[]
14, A:Hey! How are you? B:Good evening I am well thank you. looking for a movie recommendation. Do you have any? A:I sure do! What kind of movies do you like to see?,I love [MOVIE_GENRE_0] and movies that are very suspenseful,['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']",['[MOVIE_TITLE_0]'],['[MOVIE_TITLE_0]']
15, A:Hey! How are you? B:Good evening I am well thank you. looking for a movie recommendation. Do you have any? A:I sure do! What kind of movies do you like to see? B:I love [MOVIE_GENRE_0] and movies that are very suspenseful A:I do too! Have you ever seen the movie [MOVIE_TITLE_0],"I did! a while ago, when it first came out. I liked the acting and the movie itself. whats another movie that is similar to that?","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]']","['[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]']","['[MOVIE_TITLE_1]', '[MOVIE_TITLE_0]']"
16, A:Hi! I'm here to help you chose a movie!,Terrific,[],[],[],[]
17, A:Hi! I'm here to help you chose a movie! B:Terrific A:What are some genres you like? What was the last movie you saw?,"the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2]","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]'],"['[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]']"
18," A:Hi! I'm here to help you chose a movie! B:Terrific A:What are some genres you like? What was the last movie you saw? B:the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2] A:How did you like [MOVIE_TITLE_0] It definitely has the [MOVIE_GENRE_1] aspect, did it leave you wanting more or was it not exactly what you were looking for?","I liked it,  it wasn't the most high-brow movie i've ever seen but it was fun. I like to just enjoy","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_3]']",['[MOVIE_GENRE_3]'],['[MOVIE_GENRE_3]']
19," A:Hi! I'm here to help you chose a movie! B:Terrific A:What are some genres you like? What was the last movie you saw? B:the last movie i saw in the theater was ""[MOVIE_TITLE_0]"" . I generally like [MOVIE_GENRE_0] [MOVIE_GENRE_1] and [MOVIE_GENRE_2] A:How did you like [MOVIE_TITLE_0] It definitely has the [MOVIE_GENRE_1] aspect, did it leave you wanting more or was it not exactly what you were looking for? B:I liked it,  it wasn't the most high-brow movie i've ever seen but it was fun. I like to just enjoy A:And what are your thoughts on [MOVIE_GENRE_3] in film?",I like some [MOVIE_GENRE_3] Just not too violent,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_3]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_3]']",[],['[MOVIE_TITLE_1]']
20," A:Hi, how are you?",Hello! I'm doing well. How about yourself?,[],[],[],[]
21," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately?","Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good?",[],[],[],[]
22," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies.","I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun.",[],[],[],['[MOVIE_TITLE_0]']
23," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0]","No, but I wanted to. Is it good?",[],[],[],[]
24," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0] B:No, but I wanted to. Is it good? A:It was very good and oriented.",Do you think kids would enjoy it?,[],[],[],[]
25," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0] B:No, but I wanted to. Is it good? A:It was very good and oriented. B:Do you think kids would enjoy it? A:Yes, there are kids in it.",What is the general premise?,[],[],[],[]
26," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0] B:No, but I wanted to. Is it good? A:It was very good and oriented. B:Do you think kids would enjoy it? A:Yes, there are kids in it. B:What is the general premise? A:The main character acts as a governess to a rich royal",My kids love stuff about royalty!,[],[],[],['[MOVIE_P_ACTOR_0]']
27," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0] B:No, but I wanted to. Is it good? A:It was very good and oriented. B:Do you think kids would enjoy it? A:Yes, there are kids in it. B:What is the general premise? A:The main character acts as a governess to a rich royal B:My kids love stuff about royalty! A:[MOVIE_P_ACTOR_0] the star",What else has she been in? I recognize the name.,[],[],[],['[MOVIE_TITLE_2]']
28," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0] B:No, but I wanted to. Is it good? A:It was very good and oriented. B:Do you think kids would enjoy it? A:Yes, there are kids in it. B:What is the general premise? A:The main character acts as a governess to a rich royal B:My kids love stuff about royalty! A:[MOVIE_P_ACTOR_0] the star B:What else has she been in? I recognize the name. A:She was Winnie in [MOVIE_TITLE_2]. Great actress.",Oh yes! I definitely want to see it now. I loved the Wonder Years.,[],[],[],[]
29," A:Hi, how are you? B:Hello! I'm doing well. How about yourself? A:Good thanks. Have you seen any good movies lately? B:Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? A:The Hallmark Channel has some good movies. B:I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. A:Did you see [MOVIE_TITLE_0] B:No, but I wanted to. Is it good? A:It was very good and oriented. B:Do you think kids would enjoy it? A:Yes, there are kids in it. B:What is the general premise? A:The main character acts as a governess to a rich royal B:My kids love stuff about royalty! A:[MOVIE_P_ACTOR_0] the star B:What else has she been in? I recognize the name. A:She was Winnie in [MOVIE_TITLE_2]. Great actress. B:Oh yes! I definitely want to see it now. I loved the Wonder Years. A:Great! Do you accept my recommendation?",Absolutely. I have some free time tonight. I'll be watching it with the kids. Thanks.,[],[],[],[]
30," A:Hi, I am here to help you look for a movie trailer",Hi. What could you recommend?,[],['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_2]', '[MOVIE_GENRE_1]']"
31," A:Hi, I am here to help you look for a movie trailer B:Hi. What could you recommend? A:What type of movies are you into? [MOVIE_GENRE_0] [MOVIE_GENRE_1] [MOVIE_GENRE_2]",[MOVIE_GENRE_0] is my favorite.,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
32," A:Hi, I am here to help you look for a movie trailer B:Hi. What could you recommend? A:What type of movies are you into? [MOVIE_GENRE_0] [MOVIE_GENRE_1] [MOVIE_GENRE_2] B:[MOVIE_GENRE_0] is my favorite. A:Perfect, what is the latest [MOVIE_GENRE_0] that you saw?",The last [MOVIE_GENRE_0] I saw was [MOVIE_TITLE_0],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[],['[MOVIE_TITLE_1]']
33, A:Hi. My name is Becca. I'm here to help you find a movie trailer today. Would you mind starting by telling me your name?,Hey Becca! I'm Erica,[],[],[],[]
34, A:Hi. My name is Becca. I'm here to help you find a movie trailer today. Would you mind starting by telling me your name? B:Hey Becca! I'm Erica A:Hi Erica. It's so nice to meet you!,Thank you - you as well! Can you help me find a movie?,[],[],[],[]
35, A:Hi. My name is Becca. I'm here to help you find a movie trailer today. Would you mind starting by telling me your name? B:Hey Becca! I'm Erica A:Hi Erica. It's so nice to meet you! B:Thank you - you as well! Can you help me find a movie? A:I will try my best! What was the last movie you watched?,[MOVIE_TITLE_0] !,[],[],[],[]
36, A:Hi. My name is Becca. I'm here to help you find a movie trailer today. Would you mind starting by telling me your name? B:Hey Becca! I'm Erica A:Hi Erica. It's so nice to meet you! B:Thank you - you as well! Can you help me find a movie? A:I will try my best! What was the last movie you watched? B:[MOVIE_TITLE_0] ! A:Oh that movie was awesome! I love The Rock.,You've seen it?! It was SO good. I've actually seen it a few times. What was your favorite part?,[],[],[],[]
37, A:Hi,Hello!,[],[],[],[]
38, A:Hi B:Hello! A:what is your favorite genre in movies B:I like a good [MOVIE_GENRE_0] movie A:wow.. what a coincidence.. any recent movie you saw?,Hmm does the movie [MOVIE_TITLE_0] count as a [MOVIE_GENRE_0],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]']
39, A:Hi B:Hello! A:what is your favorite genre in movies B:I like a good [MOVIE_GENRE_0] movie A:wow.. what a coincidence.. any recent movie you saw? B:Hmm does the movie [MOVIE_TITLE_0] count as a [MOVIE_GENRE_0] A:i would think it more as [MOVIE_GENRE_1] and fantacy,I watched [MOVIE_TITLE_1] but that is more of a [MOVIE_GENRE_2] lol. Do you have any [MOVIE_GENRE_0] or [MOVIE_GENRE_2] recommendations?,"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_3]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]']"
40, A:Hi B:Hello! A:what is your favorite genre in movies B:I like a good [MOVIE_GENRE_0] movie A:wow.. what a coincidence.. any recent movie you saw? B:Hmm does the movie [MOVIE_TITLE_0] count as a [MOVIE_GENRE_0] A:i would think it more as [MOVIE_GENRE_1] and fantacy B:I watched [MOVIE_TITLE_1] but that is more of a [MOVIE_GENRE_2] lol. Do you have any [MOVIE_GENRE_0] or [MOVIE_GENRE_2] recommendations? A:i recently watched one [MOVIE_GENRE_3] [MOVIE_GENRE_0],What was the name of it?,"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_3]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_2]']",['[MOVIE_TITLE_2]'],['[MOVIE_TITLE_2]']
41, A:hello,hi. can you recommend a scary movie?,[],[],[],[]
42, A:hello B:hi. can you recommend a scary movie? A:do u like them gory? or not so much blood?,"not necessarily gory, but supernatural is good.",[],['[MOVIE_TITLE_6]'],['[MOVIE_TITLE_6]'],"['[MOVIE_TITLE_6]', '[MOVIE_TITLE_7]']"
43," A:hello B:hi. can you recommend a scary movie? A:do u like them gory? or not so much blood? B:not necessarily gory, but supernatural is good. A:[MOVIE_TITLE_6] was awesome, but if you like supernatural recommend [MOVIE_TITLE_7]",are those older movies or new? the last exorcism is that new?,['[MOVIE_TITLE_6]'],['[MOVIE_TITLE_6]'],[],['[MOVIE_TITLE_0]']
44," A:hello B:hi. can you recommend a scary movie? A:do u like them gory? or not so much blood? B:not necessarily gory, but supernatural is good. A:[MOVIE_TITLE_6] was awesome, but if you like supernatural recommend [MOVIE_TITLE_7] B:are those older movies or new? the last exorcism is that new? A:it's a little old but you would definitely love [MOVIE_TITLE_0] if you are looking for something paranormal B:i have seen [MOVIE_TITLE_1] Enjoyed it. What is crawl about? A:[MOVIE_PLOT]",sounds interesting. do you know anything more recent?,['[MOVIE_TITLE_6]'],['[MOVIE_TITLE_6]'],[],['[MOVIE_TITLE_8]']
45," A:hello B:hi. can you recommend a scary movie? A:do u like them gory? or not so much blood? B:not necessarily gory, but supernatural is good. A:[MOVIE_TITLE_6] was awesome, but if you like supernatural recommend [MOVIE_TITLE_7] B:are those older movies or new? the last exorcism is that new? A:it's a little old but you would definitely love [MOVIE_TITLE_0] if you are looking for something paranormal B:i have seen [MOVIE_TITLE_1] Enjoyed it. What is crawl about? A:[MOVIE_PLOT] B:sounds interesting. do you know anything more recent? A:[MOVIE_TITLE_8] havent seen but they said it was great. did u see the first one?","Yes, I saw the first one. Would like to see the 2nd but do not know if it's still in theaters or streaming.",['[MOVIE_TITLE_6]'],['[MOVIE_TITLE_6]'],[],['[MOVIE_TITLE_2]']
46, A:Hi,hello. Do you have a movie recommendation?,[],[],[],[]
47, A:Hi B:hello. Do you have a movie recommendation? A:Do you have a preference for movies?,"I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1]","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']",[],['[MOVIE_TITLE_0]']
48," A:Hi B:hello. Do you have a movie recommendation? A:Do you have a preference for movies? B:I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1] A:Are you interested in the new [MOVIE_TITLE_0] movie?",No not really. I thought the first one was ok but not really up my alley.,['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]'],[],['[MOVIE_GENRE_0]']
49," A:Hi B:hello. Do you have a movie recommendation? A:Do you have a preference for movies? B:I usually like gangster movies, [MOVIE_GENRE_0] movies and [MOVIE_GENRE_1] A:Are you interested in the new [MOVIE_TITLE_0] movie? B:No not really. I thought the first one was ok but not really up my alley. A:What [MOVIE_GENRE_0] movies do you like?","lets see...I liked die hard, the avengers, john wick, highlander. Those kinds of movies. I also liked goodfellas, casino, [MOVIE_TITLE_1]",['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]'],[],['[MOVIE_GENRE_0]']
50, A:Hi there. How are you?,I'm doing well. I was wondering if you had any movie recommendations.,[],[],[],[]
51," A:Hi there. How are you? B:I'm doing well. I was wondering if you had any movie recommendations. A:Let me see. Well, what kind of movies do you usually find yourself watching? What do you like? B:I tend to like [MOVIE_GENRE_0] movies that also involve [MOVIE_GENRE_1] A:Oh, me too. So, what did you see last that you liked?",I really liked [MOVIE_TITLE_0] because I liked the pacing and the effects were great.,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_1]']"
52," A:Hi there. How are you? B:I'm doing well. I was wondering if you had any movie recommendations. A:Let me see. Well, what kind of movies do you usually find yourself watching? What do you like? B:I tend to like [MOVIE_GENRE_0] movies that also involve [MOVIE_GENRE_1] A:Oh, me too. So, what did you see last that you liked? B:I really liked [MOVIE_TITLE_0] because I liked the pacing and the effects were great. A:Okay, I think I kind of understand your taste a little. It's sort of similar to mine, although I haven't seen an [MOVIE_GENRE_0] hero movie in a while. Did you like [MOVIE_TITLE_1]?","No, I haven't, but I heard good things about it.",[],[],[],[]
